,_id,iterationName,eventType,finalCount,gameID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trialNum,sectionTrial,cardinality,base,target,response,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,writingTime,initTime,endTime,gender,age,comments,understood,totalLength,distracted,distractedGame,failedGame,failedOutlier,complete,nonsenseGame
1835,61e054f8aa09f84b60e4b75c,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.2,120.0,41.0,6.0,6.0,3,su-no,suno,1.0,0.0,{},1642091763915.0,1642091763915.0,4237.0,4237.0,2801,1436.0,1642091436765.0,1642091768152.0,,,,,,False,False,False,False,True,False
1838,61e054faaa09f84b60e4b75f,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.63,63.0,25.0,5.0,5.0,4,tu-he,tohr,0.0,0.0,{},1642091766712.0,1642091766712.0,3283.0,3283.0,1619,1664.0,1642091605146.0,1642091769995.0,,,,,,False,False,False,False,True,False
1841,61e054fdaa09f84b60e4b762,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.23,123.0,42.0,7.0,7.0,3,su-no-ke,sunoke,1.0,0.0,{},1642091769164.0,1642091769164.0,3775.0,3775.0,1852,1923.0,1642091436765.0,1642091772939.0,,,,,,False,False,False,False,True,False
1843,61e054ffaa09f84b60e4b764,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.65,65.0,25.0,5.0,5.0,4,tu-he,tuhe,1.0,1.0,{},1642091766712.0,1642091770004.0,8382.0,5090.0,1897,3193.0,1642091605146.0,1642091775094.0,,,,,,False,False,False,False,True,False
1845,61e05503aa09f84b60e4b766,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.68,68.0,26.0,6.0,6.0,4,tu-ni,tuni,1.0,0.0,{},1642091776107.0,1642091776107.0,2388.0,2388.0,1055,1333.0,1642091605146.0,1642091778495.0,,,,,,False,False,False,False,True,False
1846,61e05504aa09f84b60e4b767,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.26,126.0,43.0,8.0,8.0,3,su-no-su,sunosu,1.0,0.0,{},1642091773949.0,1642091773949.0,6107.0,6107.0,1956,4151.0,1642091436765.0,1642091780056.0,,,,,,False,False,False,False,True,False
1848,61e05507aa09f84b60e4b769,run1,tutorial,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.68,68.0,27.0,7.0,7.0,4,tu-ko,tuko,1.0,0.0,{},1642091779508.0,1642091779508.0,3715.0,3715.0,1350,2365.0,1642091605146.0,1642091783223.0,,,,,,False,False,False,False,True,False
1850,61e05509aa09f84b60e4b76b,run1,tutorial,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.26,126.0,44.0,9.0,9.0,3,ha,ha,1.0,0.0,{},1642091781064.0,1642091781064.0,3869.0,3869.0,2499,1370.0,1642091436765.0,1642091784933.0,,,,,,False,False,False,False,True,False
1851,61e0550baa09f84b60e4b76c,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.71,71.0,27.0,7.0,7.0,4,tu-ko,tuko,1.0,0.0,{},1642091784236.0,1642091784236.0,2607.0,2607.0,1296,1311.0,1642091605146.0,1642091786843.0,,,,,,False,False,False,False,True,False
1853,61e0550faa09f84b60e4b76e,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.74,74.0,28.0,1.0,1.0,4,he,he,1.0,0.0,{},1642091787860.0,1642091787860.0,2670.0,2670.0,2187,483.0,1642091605146.0,1642091790530.0,,,,,,False,False,False,False,True,False
1855,61e05510aa09f84b60e4b770,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.29,129.0,44.0,9.0,9.0,3,ha,ha,1.0,0.0,{},1642091785945.0,1642091785945.0,6135.0,6135.0,5066,1069.0,1642091436765.0,1642091792081.0,,,,,,False,False,False,False,True,False
1856,61e05511aa09f84b60e4b771,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.77,77.0,29.0,2.0,2.0,4,ni,ni,1.0,0.0,{},1642091791554.0,1642091791554.0,1506.0,1506.0,764,742.0,1642091605146.0,1642091793060.0,,,,,,False,False,False,False,True,False
1858,61e05514aa09f84b60e4b773,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.8,80.0,30.0,3.0,3.0,4,ko,ko,1.0,0.0,{},1642091794076.0,1642091794076.0,1685.0,1685.0,1010,675.0,1642091605146.0,1642091795761.0,,,,,,False,False,False,False,True,False
1862,61e05519aa09f84b60e4b777,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.32,132.0,45.0,1.0,1.0,3,ke,ke,1.0,0.0,{},1642091793093.0,1642091793093.0,7575.0,7575.0,4561,3014.0,1642091436765.0,1642091800668.0,,,,,,False,False,False,False,True,False
1864,61e0551baa09f84b60e4b779,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.83,83.0,31.0,4.0,4.0,4,tu,tu,1.0,0.0,{},1642091796776.0,1642091796776.0,5896.0,5896.0,1026,4870.0,1642091605146.0,1642091802673.0,,,,,,False,False,False,False,True,False
1867,61e0551faa09f84b60e4b77c,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.35,135.0,46.0,2.0,2.0,3,su,su,1.0,0.0,{},1642091801680.0,1642091801680.0,4970.0,4970.0,1586,3384.0,1642091436765.0,1642091806650.0,,,,,,False,False,False,False,True,False
1869,61e05521aa09f84b60e4b77e,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.86,86.0,32.0,5.0,5.0,4,tu-he,tuhe,1.0,0.0,{},1642091803684.0,1642091803684.0,5476.0,5476.0,2233,3243.0,1642091605146.0,1642091809161.0,,,,,,False,False,False,False,True,False
1871,61e05523aa09f84b60e4b780,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.38,138.0,47.0,3.0,3.0,3,no,no,1.0,0.0,{},1642091807661.0,1642091807661.0,2785.0,2785.0,1832,953.0,1642091436765.0,1642091810446.0,,,,,,False,False,False,False,True,False
1874,61e05526aa09f84b60e4b783,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.89,89.0,33.0,6.0,6.0,4,tu-ni,tuni,1.0,0.0,{},1642091810171.0,1642091810171.0,3911.0,3911.0,794,3117.0,1642091605146.0,1642091814082.0,,,,,,False,False,False,False,True,False
1876,61e05528aa09f84b60e4b785,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.41,141.0,48.0,4.0,4.0,3,no-ke,noke,1.0,0.0,{},1642091811457.0,1642091811457.0,4810.0,4810.0,3406,1404.0,1642091436765.0,1642091816267.0,,,,,,False,False,False,False,True,False
1878,61e0552baa09f84b60e4b787,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.92,92.0,34.0,7.0,7.0,4,tu-ko,tuko,1.0,0.0,{},1642091815096.0,1642091815096.0,3895.0,3895.0,1138,2757.0,1642091605146.0,1642091818991.0,,,,,,False,False,False,False,True,False
1880,61e0552eaa09f84b60e4b789,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.44,144.0,49.0,5.0,5.0,3,no-su,nosu,1.0,0.0,{},1642091817273.0,1642091817273.0,5195.0,5195.0,1574,3621.0,1642091436765.0,1642091822468.0,,,,,,False,False,False,False,True,False
1883,61e05533aa09f84b60e4b78c,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.47,147.0,50.0,6.0,6.0,3,su-no,suno,1.0,0.0,{},1642091823480.0,1642091823480.0,3196.0,3196.0,1838,1358.0,1642091436765.0,1642091826676.0,,,,,,False,False,False,False,True,False
1884,61e05539aa09f84b60e4b78d,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.5,150.0,51.0,7.0,7.0,3,su-no-ke,sunoke,1.0,0.0,{},1642091827687.0,1642091827687.0,4870.0,4870.0,1610,3260.0,1642091436765.0,1642091832558.0,,,,,,False,False,False,False,True,False
1885,61e0553faa09f84b60e4b78e,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.53,153.0,52.0,8.0,8.0,3,su-no-su,sunosu,1.0,0.0,{},1642091833568.0,1642091833568.0,5328.0,5328.0,1717,3611.0,1642091436765.0,1642091838896.0,,,,,,False,False,False,False,True,False
1887,61e05543aa09f84b60e4b790,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.56,156.0,53.0,9.0,9.0,3,ha,ha,1.0,0.0,{},1642091839907.0,1642091839907.0,3468.0,3468.0,2245,1223.0,1642091436765.0,1642091843375.0,,,,,,False,False,False,False,True,False
1888,61e05547aa09f84b60e4b791,run1,tutorial,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.92,92.0,35.0,8.0,8.0,4,ni-tu,nitu,1.0,0.0,{},1642091820004.0,1642091820004.0,26575.0,26575.0,23672,2903.0,1642091605146.0,1642091846579.0,,,,,,False,False,False,False,True,False
1890,61e05548aa09f84b60e4b793,run1,tutorial,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.56,156.0,54.0,0.0,10.0,3,ha-ke,hake,1.0,0.0,{},1642091844387.0,1642091844387.0,3630.0,3630.0,2112,1518.0,1642091436765.0,1642091848017.0,,,,,,False,False,False,False,True,False
1893,61e0554aaa09f84b60e4b796,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.95,95.0,35.0,8.0,8.0,4,ni-tu,nitu,1.0,0.0,{},1642091847588.0,1642091847588.0,2508.0,2508.0,1266,1242.0,1642091605146.0,1642091850096.0,,,,,,False,False,False,False,True,False
1894,61e0554caa09f84b60e4b797,run1,quiz,False,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.59,159.0,54.0,0.0,10.0,3,ha-ke,hake,1.0,0.0,{},1642091849029.0,1642091849029.0,2708.0,2708.0,1413,1295.0,1642091436765.0,1642091851737.0,,,,,,False,False,False,False,True,False
1895,61e0554caa09f84b60e4b798,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$0.98,98.0,36.0,1.0,1.0,4,he,he,1.0,0.0,{},1642091851117.0,1642091851117.0,1166.0,1166.0,719,447.0,1642091605146.0,1642091852283.0,,,,,,False,False,False,False,True,False
1897,61e0554faa09f84b60e4b79a,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.01,101.0,37.0,2.0,2.0,4,ni,ni,1.0,0.0,{},1642091853294.0,1642091853294.0,1262.0,1262.0,680,582.0,1642091605146.0,1642091854556.0,,,,,,False,False,False,False,True,False
1900,61e05551aa09f84b60e4b79d,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.04,104.0,38.0,3.0,3.0,4,ko,ko,1.0,0.0,{},1642091855577.0,1642091855577.0,1247.0,1247.0,690,557.0,1642091605146.0,1642091856824.0,,,,,,False,False,False,False,True,False
1901,61e05552aa09f84b60e4b79e,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.62,162.0,55.0,1.0,1.0,3,ke,ke,1.0,0.0,{},1642091852748.0,1642091852748.0,5042.0,5042.0,4106,936.0,1642091436765.0,1642091857791.0,,,,,,False,False,False,False,True,False
1902,61e05553aa09f84b60e4b79f,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.07,107.0,39.0,4.0,4.0,4,tu,tu,1.0,0.0,{},1642091857834.0,1642091857834.0,1086.0,1086.0,407,679.0,1642091605146.0,1642091858920.0,,,,,,False,False,False,False,True,False
1906,61e05556aa09f84b60e4b7a3,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.65,165.0,56.0,2.0,2.0,3,su,su,1.0,0.0,{},1642091858806.0,1642091858806.0,3566.0,3566.0,1834,1732.0,1642091436765.0,1642091862373.0,,,,,,False,False,False,False,True,False
1907,61e05557aa09f84b60e4b7a4,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.1,110.0,40.0,5.0,5.0,4,tu-he,tuhe,1.0,0.0,{},1642091859943.0,1642091859943.0,3085.0,3085.0,606,2479.0,1642091605146.0,1642091863028.0,,,,,,False,False,False,False,True,False
1909,61e0555aaa09f84b60e4b7a6,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.68,168.0,57.0,3.0,3.0,3,no,no,1.0,0.0,{},1642091863385.0,1642091863385.0,2820.0,2820.0,1480,1340.0,1642091436765.0,1642091866206.0,,,,,,False,False,False,False,True,False
1910,61e0555baa09f84b60e4b7a7,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.13,113.0,41.0,6.0,6.0,4,tu-ni,tuni,1.0,0.0,{},1642091864049.0,1642091864049.0,3184.0,3184.0,751,2433.0,1642091605146.0,1642091867233.0,,,,,,False,False,False,False,True,False
1911,61e0555eaa09f84b60e4b7a8,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.71,171.0,58.0,4.0,4.0,3,no-ke,noke,1.0,0.0,{},1642091867216.0,1642091867216.0,2788.0,2788.0,1446,1342.0,1642091436765.0,1642091870005.0,,,,,,False,False,False,False,True,False
1912,61e0555faa09f84b60e4b7a9,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.16,116.0,42.0,7.0,7.0,4,tu-ko,tuko,1.0,0.0,{},1642091868246.0,1642091868246.0,2167.0,2167.0,814,1353.0,1642091605146.0,1642091870413.0,,,,,,False,False,False,False,True,False
1915,61e05563aa09f84b60e4b7ac,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.74,174.0,59.0,5.0,5.0,3,no-su,nosu,1.0,0.0,{},1642091871016.0,1642091871016.0,4189.0,4189.0,1845,2344.0,1642091436765.0,1642091875205.0,,,,,,False,False,False,False,True,False
1917,61e05566aa09f84b60e4b7ae,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.19,119.0,43.0,8.0,8.0,4,ni-tu,nitu,1.0,0.0,{},1642091871426.0,1642091871426.0,6630.0,6630.0,4728,1902.0,1642091605146.0,1642091878056.0,,,,,,False,False,False,False,True,False
1919,61e05567aa09f84b60e4b7b0,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.77,177.0,60.0,6.0,6.0,3,su-no,suno,1.0,0.0,{},1642091876215.0,1642091876215.0,3257.0,3257.0,1861,1396.0,1642091436765.0,1642091879472.0,,,,,,False,False,False,False,True,False
1923,61e0556caa09f84b60e4b7b4,run1,tutorial,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.19,119.0,44.0,9.0,9.0,4,ni-tu-he,nituhe,1.0,0.0,{},1642091879070.0,1642091879070.0,4352.0,4352.0,1137,3215.0,1642091605146.0,1642091883422.0,,,,,,False,False,False,False,True,False
1924,61e0556caa09f84b60e4b7b5,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.8,180.0,61.0,7.0,7.0,3,su-no-ke,sunoke,1.0,0.0,{},1642091880484.0,1642091880484.0,3290.0,3290.0,1581,1709.0,1642091436765.0,1642091883774.0,,,,,,False,False,False,False,True,False
1927,61e05575aa09f84b60e4b7b8,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.83,183.0,62.0,8.0,8.0,3,su-no-su,sunosu,1.0,0.0,{},1642091884786.0,1642091884786.0,7712.0,7712.0,2680,5032.0,1642091436765.0,1642091892498.0,,,,,,False,False,False,False,True,False
1930,61e0557caa09f84b60e4b7bb,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.86,186.0,63.0,9.0,9.0,3,ha,ha,1.0,0.0,{},1642091893510.0,1642091893510.0,6514.0,6514.0,2358,4156.0,1642091436765.0,1642091900024.0,,,,,,False,False,False,False,True,False
1935,61e05589aa09f84b60e4b7c0,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.86,186.0,64.0,10.0,10.0,3,ha-ke,tema,0.0,0.0,{},1642091901035.0,1642091901035.0,11873.0,11873.0,9567,2306.0,1642091436765.0,1642091912908.0,,,,,,False,False,False,False,True,False
1938,61e0558eaa09f84b60e4b7c3,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.22,122.0,44.0,9.0,9.0,4,ni-tu-he,nituhe,1.0,0.0,{},1642091884443.0,1642091884443.0,33377.0,33377.0,24486,8891.0,1642091605146.0,1642091917820.0,,,,,,False,False,False,False,True,False
1940,61e05591aa09f84b60e4b7c5,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.25,125.0,45.0,1.0,1.0,4,he,he,1.0,0.0,{},1642091918832.0,1642091918832.0,2450.0,2450.0,2049,401.0,1642091605146.0,1642091921282.0,,,,,,False,False,False,False,True,False
1941,61e05594aa09f84b60e4b7c6,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.28,128.0,46.0,2.0,2.0,4,ni,ni,1.0,0.0,{},1642091922302.0,1642091922302.0,1374.0,1374.0,740,634.0,1642091605146.0,1642091923676.0,,,,,,False,False,False,False,True,False
1943,61e05596aa09f84b60e4b7c8,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.31,131.0,47.0,3.0,3.0,4,ko,ko,1.0,0.0,{},1642091924703.0,1642091924703.0,1126.0,1126.0,411,715.0,1642091605146.0,1642091925829.0,,,,,,False,False,False,False,True,False
1944,61e05598aa09f84b60e4b7c9,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.34,134.0,48.0,4.0,4.0,4,tu,tu,1.0,0.0,{},1642091926848.0,1642091926848.0,1212.0,1212.0,314,898.0,1642091605146.0,1642091928060.0,,,,,,False,False,False,False,True,False
1946,61e0559caa09f84b60e4b7cb,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.37,137.0,49.0,5.0,5.0,4,tu-he,tuhe,1.0,0.0,{},1642091929074.0,1642091929074.0,3029.0,3029.0,1531,1498.0,1642091605146.0,1642091932103.0,,,,,,False,False,False,False,True,False
1948,61e055a0aa09f84b60e4b7cd,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.4,140.0,50.0,6.0,6.0,4,tu-ni,tuni,1.0,0.0,{},1642091933130.0,1642091933130.0,2315.0,2315.0,876,1439.0,1642091605146.0,1642091935445.0,,,,,,False,False,False,False,True,False
1951,61e055a4aa09f84b60e4b7d0,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.43,143.0,51.0,7.0,7.0,4,tu-ko,tuko,1.0,0.0,{},1642091936459.0,1642091936459.0,3864.0,3864.0,1432,2432.0,1642091605146.0,1642091940323.0,,,,,,False,False,False,False,True,False
1954,61e055abaa09f84b60e4b7d3,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.46,146.0,52.0,8.0,8.0,4,ni-tu,nitu,1.0,0.0,{},1642091941343.0,1642091941344.0,6025.0,6024.0,2500,3524.0,1642091605146.0,1642091947368.0,,,,,,False,False,False,False,True,False
1957,61e055b1aa09f84b60e4b7d6,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.49,149.0,53.0,9.0,9.0,4,ni-tu-he,nituhe,1.0,0.0,{},1642091948392.0,1642091948392.0,4098.0,4098.0,1802,2296.0,1642091605146.0,1642091952490.0,,,,,,False,False,False,False,True,False
1960,61e055b8aa09f84b60e4b7d9,run1,tutorial,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.49,149.0,54.0,0.0,10.0,4,ni-tu-ni,nituni,1.0,0.0,{},1642091953510.0,1642091953510.0,5954.0,5954.0,1370,4584.0,1642091605146.0,1642091959464.0,,,,,,False,False,False,False,True,False
1962,61e055baaa09f84b60e4b7db,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.86,186.0,64.0,10.0,10.0,3,ha-ke,hano,0.0,1.0,{},1642091901035.0,1642091912913.0,60681.0,48803.0,44225,4578.0,1642091436765.0,1642091961716.0,,,,,,False,False,False,False,True,False
1964,61e055bcaa09f84b60e4b7dd,run1,quiz,False,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.52,152.0,54.0,0.0,10.0,4,ni-tu-ni,nituni,1.0,0.0,{},1642091960476.0,1642091960476.0,3464.0,3464.0,1531,1933.0,1642091605146.0,1642091963940.0,,,,,,False,False,False,False,True,False
1966,61e055c0aa09f84b60e4b7df,run1,quiz,True,G22,,,,61294f256e188cea756a03e6,61df8999cc7c1c6984f5f11d,61e05036b57db4e8d696b04c,$1.86,186.0,64.0,10.0,10.0,3,ha-ke,hasu,0.0,2.0,{},1642091901035.0,1642091961718.0,67341.0,6658.0,4582,2076.0,1642091436765.0,1642091968376.0,,,,,,False,False,False,False,True,False
1967,61e055c1aa09f84b60e4b7e0,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.55,155.0,55.0,1.0,1.0,4,he,he,1.0,0.0,{},1642091964957.0,1642091964957.0,4246.0,4246.0,2208,2038.0,1642091605146.0,1642091969203.0,,,,,,False,False,False,False,True,False
1969,61e055c4aa09f84b60e4b7e2,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.58,158.0,56.0,2.0,2.0,4,ni,ni,1.0,0.0,{},1642091970234.0,1642091970234.0,1483.0,1483.0,868,615.0,1642091605146.0,1642091971717.0,,,,,,False,False,False,False,True,False
1971,61e055c7aa09f84b60e4b7e4,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.61,161.0,57.0,3.0,3.0,4,ko,ko,1.0,0.0,{},1642091972746.0,1642091972746.0,2405.0,2405.0,1872,533.0,1642091605146.0,1642091975151.0,,,,,,False,False,False,False,True,False
1973,61e055c9aa09f84b60e4b7e6,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.64,164.0,58.0,4.0,4.0,4,tu,tu,1.0,0.0,{},1642091976174.0,1642091976174.0,1173.0,1173.0,436,737.0,1642091605146.0,1642091977347.0,,,,,,False,False,False,False,True,False
1983,61e055f0aa09f84b60e4b7f0,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.64,164.0,59.0,5.0,5.0,4,tu-he,tuni,0.0,0.0,{},1642091978361.0,1642091978361.0,37669.0,37669.0,15619,22050.0,1642091605146.0,1642092016030.0,,,,,,False,False,False,False,True,False
1993,61e05609aa09f84b60e4b7fa,run1,tutorial,False,G26,,,,60e43d16eb3536f1618652fb,61df8999cc7c1c6984f5f11d,61e0547e264eec745690138c,$0,0.0,1.0,1.0,1.0,4,ho,1=ho,0.0,0.0,{},1642092018979.0,1642092018979.0,22722.0,22722.0,5917,16805.0,1642091920745.0,1642092041701.0,,,,,,False,False,False,False,True,False
1997,61e05611aa09f84b60e4b7fe,run1,quiz,False,G26,,,,60e43d16eb3536f1618652fb,61df8999cc7c1c6984f5f11d,61e0547e264eec745690138c,$0.03,3.0,1.0,1.0,1.0,4,ho,ho,1.0,0.0,{},1642092042707.0,1642092042707.0,6971.0,6971.0,4022,2949.0,1642091920745.0,1642092049678.0,,,,,,False,False,False,False,True,False
1998,61e0561faa09f84b60e4b7ff,run1,quiz,True,G24,,,,5f16bc9496b2453bc7739c0b,61df8999cc7c1c6984f5f11d,61e0503f953fba8d13b86f7f,$1.64,164.0,59.0,5.0,5.0,4,tu-he,niko,0.0,1.0,{},1642091978361.0,1642092016036.0,84226.0,46551.0,34679,11872.0,1642091605146.0,1642092062587.0,,,,,,False,False,False,False,True,False
